+++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++
+   Table with differences between experimental and calculated energies for fited levels
+
+   J. Zaharova, O. Docenko, M. Tamanis, R. Ferber
+   Laser Center, Department of Physics, University of Latvia, 
+   Rainis Boulevard 19, LV 1586 Riga, Latvia
+
+   A. Pashov
+   Department of Physics, Sofia University, James Bourchier Boulevard 5, 1164
+   Sofia, Bulgaria
+
+   H. Knoeckel and E.Tiemann
+   Institut fuer Quantenoptik, Universitaet Hannover, Welfengarten 1,
+   30167 Hannover, Germany
+
+  October 2004, October 2005, Hannover
+  
+
++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++++


Notations: 

v',J':		  vibrational and rotational quantum numbers of the excited B1P state level 

Ecalc, Diff 	experimental energy, calculated energy and 
			differences between experimental and calculated 
			energies of the excited B1P state level

par:	  	for f levels -  0, for e levels - 1


iso:            An integer i. In the final fit only transitions with  
                i=5,8,10 were used.

		  


v'	J'	Ecalc		Diff		par	iso
4	84	15890.92232	-0.03782	1	9
4	104	16038.29956	1.50E-04	1	10
4	105	16046.36909	8.80E-04	1	10
4	106	16054.50261	-0.0018		1	10
4	107	16062.6997	-0.00458	1	10
4	108	16070.95996	-0.00423	1	10
4	109	16079.28297	-0.01309	1	10
4	110	16087.66829	-2.20E-04	1	10
4	111	16096.1155	0.0173		1	10
4	143	16396.09207	-0.01694	1	10
5	58	15788.01443	0.29644		0	9
5	59	15792.71184	0.24644		0	9
5	60	15797.4851	0.20658		0	1
5	61	15802.33403	0.17215		0	1
5	62	15807.25841	0.14568		0	1
5	63	15812.25806	0.12511		0	1
5	64	15817.33274	0.10247		0	1
5	65	15822.48226	0.08216		0	1
5	66	15827.7064	0.06947		0	1
5	67	15833.00492	0.05068		0	1
5	68	15838.37761	0.04501		0	1
5	69	15843.82423	0.02906		0	1
5	70	15849.34456	0.0171		0	1
5	71	15854.93835	0.00722		0	1
5	72	15860.60536	-0.00338	0	1
5	73	15866.34534	-0.01265	0	1
5	74	15872.15804	-0.02598	0	1
5	75	15878.04321	-0.03349	0	1
5	76	15884.00058	-0.06138	0	1
5	77	15890.02989	-0.12801	0	1
5	79	15902.30327	0.06002		0	9
5	80	15908.54678	0.00513		0	10
5	81	15914.86113	-0.0196		0	10
5	82	15921.24602	-0.04236	0	9
5	83	15927.70118	-0.04233	0	9
5	84	15934.22631	-0.05286	0	9
5	85	15940.8211	-0.06954	0	9
5	97	16025.27656	0.01935		0	10
5	98	16032.74744	0.01893		0	10
5	99	16040.28326	0.01615		0	10
5	100	16047.88364	0.00575		0	10
5	101	16055.54819	-5.00E-05	0	10
5	102	16063.27654	-0.01125	0	10
5	103	16071.06827	-0.02206	0	10
5	109	16119.12686	-0.01672	0	10
5	123	16239.54389	-0.00382	0	10
5	124	16248.56277	-0.01359	0	10
5	125	16257.63446	-0.03438	0	9
5	126	16266.75836	0.0247		0	10
5	127	16275.9339	0.00404		0	10
5	128	16285.16046	0.00295		0	10
5	129	16294.43744	-0.00279	0	10
5	130	16303.76423	0.00143		0	10
5	131	16313.14017	-0.00694	0	10
5	132	16322.56465	-0.01016	0	10
5	133	16332.03699	-0.00776	0	10
5	134	16341.55655	-0.00871	0	10
5	15	15659.99145	-0.02041	1	9
5	60	15797.48316	0.22786		1	1
5	61	15802.33202	0.19682		1	1
5	62	15807.25634	0.16929		1	1
5	63	15812.25592	0.14449		1	1
5	64	15817.33054	0.11618		1	1
5	65	15822.47999	0.09622		1	1
5	66	15827.70405	0.0897		1	1
5	67	15833.00251	0.07221		1	1
5	68	15838.37512	0.05973		1	1
5	69	15843.82167	0.03857		1	1
5	70	15849.34193	0.0316		1	1
5	71	15854.93564	0.02226		1	1
5	72	15860.60257	0.01541		1	1
5	73	15866.34247	0.01026		1	1
5	74	15872.1551	-0.00132	1	1
5	75	15878.04019	-0.00993	1	1
5	76	15883.99748	-0.01016	1	1
5	77	15890.02671	-0.0054		1	1
5	95	16010.52627	0.06749		1	9
5	96	16017.86606	0.07422		1	9
5	97	16025.27153	0.04171		1	9
5	98	16032.7423	0.03167		1	10
5	99	16040.27801	0.02888		1	10
5	100	16047.87829	0.02041		1	10
5	101	16055.54273	0.01386		1	10
5	102	16063.27097	0.01568		1	10
5	103	16071.06259	0.03341		1	10
5	104	16078.9172	-2.00E-05	1	10
5	106	16094.81375	-16.14924	1	3
5	118	16195.25372	0.11202		1	9
5	125	16257.62611	-0.02815	1	10
5	126	16266.74988	-0.00922	1	10
5	127	16275.92528	-0.00649	1	10
5	128	16285.15171	-0.00184	1	10
5	129	16294.42856	-0.00333	1	10
5	130	16303.7552	-0.00573	1	10
5	131	16313.13101	-0.00403	1	10
5	132	16322.55534	-0.01732	1	10
6	55	15819.12217	0.50112		0	9
6	118	16232.11316	0.02184		0	10
6	119	16240.67731	0.00504		0	10
