Table IV
The resulting deperturbed (diabatic) potential energy curves of the singlet A1Sigma+ 
state U_A(r) and triplet b3Pi(Omega=0,1,2) sub-states U_b0(r), U_b1(r), U_b2(r) 
as well as spin-orbit splitting A_01(r), A_12(r) and V_Ab0(r) functions.
Energies - in cm-1, internuclear distance in Angstroms.
=======================================================================================
     r       U_A       U_b0       U_b1        U_b2        A_01        A_12      V_Ab0
---------------------------------------------------------------------------------------
  Angstroms                                         cm-1
=======================================================================================
  3.195855  15172.436  11457.558  11580.529  11698.671    122.971    118.143    137.936
  3.198498  15148.513  11444.914  11567.738  11685.784    122.823    118.046    137.806
  3.201136  15124.739  11432.383  11555.059  11673.009    122.676    117.950    137.675
  3.203767  15101.114  11419.962  11542.491  11660.345    122.530    117.854    137.544
  3.206392  15077.637  11407.651  11530.034  11647.793    122.383    117.759    137.414
  3.209011  15054.306  11395.448  11517.686  11635.349    122.238    117.664    137.284
  3.211624  15031.120  11383.353  11505.446  11623.014    122.092    117.569    137.154
  3.214231  15008.077  11371.365  11493.312  11610.787    121.948    117.474    137.023
  3.216832  14985.177  11359.482  11481.285  11598.665    121.803    117.380    136.894
  3.219428  14962.417  11347.703  11469.363  11586.649    121.659    117.286    136.764
  3.222017  14939.797  11336.028  11457.544  11574.737    121.516    117.193    136.634
  3.224601  14917.315  11324.456  11445.829  11562.929    121.373    117.100    136.504
  3.227179  14894.970  11312.985  11434.215  11551.222    121.230    117.007    136.375
  3.229751  14872.762  11301.614  11422.702  11539.617    121.088    116.915    136.246
  3.232317  14850.687  11290.343  11411.290  11528.113    120.947    116.823    136.116
  3.234878  14828.746  11279.171  11399.976  11516.708    120.806    116.731    135.987
  3.237434  14806.938  11268.096  11388.761  11505.401    120.665    116.640    135.859
  3.239984  14785.260  11257.119  11377.643  11494.192    120.524    116.549    135.730
  3.242528  14763.713  11246.237  11366.622  11483.080    120.385    116.458    135.601
  3.245067  14742.294  11235.450  11355.695  11472.063    120.245    116.368    135.473
  3.247600  14721.003  11224.758  11344.864  11461.141    120.106    116.278    135.344
  3.250128  14699.838  11214.159  11334.126  11450.314    119.967    116.188    135.216
  3.252650  14678.799  11203.652  11323.481  11439.580    119.829    116.098    135.088
  3.255168  14657.884  11193.237  11312.928  11428.938    119.692    116.009    134.960
  3.257680  14637.092  11182.913  11302.467  11418.387    119.554    115.920    134.832
  3.260186  14616.423  11172.678  11292.096  11407.927    119.417    115.832    134.705
  3.262688  14595.875  11162.533  11281.814  11397.558    119.281    115.744    134.577
  3.265184  14575.447  11152.476  11271.621  11387.277    119.145    115.656    134.450
  3.267675  14555.138  11142.507  11261.516  11377.085    119.009    115.568    134.323
  3.270162  14534.947  11132.625  11251.499  11366.980    118.874    115.481    134.196
  3.272643  14514.873  11122.828  11241.567  11356.962    118.739    115.394    134.069
  3.275118  14494.916  11113.117  11231.722  11347.029    118.605    115.308    133.942
  3.277589  14475.073  11103.491  11221.961  11337.183    118.470    115.221    133.815
  3.280055  14455.345  11093.948  11212.285  11327.420    118.337    115.135    133.689
  3.282516  14435.730  11084.489  11202.692  11317.742    118.204    115.049    133.563
  3.284972  14416.228  11075.111  11193.182  11308.146    118.071    114.964    133.437
  3.287424  14396.837  11065.816  11183.754  11298.633    117.938    114.879    133.311
  3.289870  14377.556  11056.601  11174.407  11289.201    117.806    114.794    133.185
  3.292312  14358.385  11047.466  11165.141  11279.851    117.675    114.710    133.059
  3.294748  14339.323  11038.411  11155.955  11270.580    117.543    114.625    132.934
  3.297181  14320.368  11029.435  11146.848  11261.389    117.412    114.541    132.809
  3.299608  14301.521  11020.538  11137.820  11252.277    117.282    114.458    132.684
  3.302030  14282.779  11011.717  11128.869  11243.243    117.152    114.374    132.559
  3.304448  14264.143  11002.974  11119.996  11234.287    117.022    114.291    132.434
  3.306862  14245.611  10994.307  11111.199  11225.408    116.893    114.209    132.309
  3.309271  14227.183  10985.715  11102.479  11216.605    116.764    114.126    132.185
  3.311675  14208.857  10977.198  11093.834  11207.877    116.635    114.044    132.061
  3.314074  14190.633  10968.756  11085.263  11199.225    116.507    113.962    131.937
  3.316470  14172.511  10960.388  11076.767  11190.647    116.379    113.880    131.813
  3.318860  14154.489  10952.092  11068.344  11182.143    116.252    113.799    131.689
  3.321246  14136.566  10943.869  11059.994  11173.712    116.125    113.718    131.565
  3.323628  14118.742  10935.718  11051.716  11165.353    115.998    113.637    131.442
  3.326006  14101.016  10927.639  11043.510  11157.066    115.872    113.556    131.319
  3.328379  14083.387  10919.630  11035.375  11148.851    115.746    113.476    131.196
  3.330747  14065.855  10911.691  11027.311  11140.707    115.620    113.396    131.073
  3.333112  14048.419  10903.822  11019.317  11132.633    115.495    113.316    130.950
  3.335472  14031.077  10896.022  11011.392  11124.628    115.370    113.237    130.828
  3.337827  14013.830  10888.290  11003.536  11116.693    115.245    113.158    130.706
  3.340179  13996.676  10880.627  10995.748  11108.826    115.121    113.079    130.584
  3.342526  13979.615  10873.031  10988.028  11101.028    114.997    113.000    130.462
  3.344870  13962.647  10865.501  10980.375  11093.296    114.874    112.922    130.340
  3.347209  13945.769  10858.038  10972.789  11085.632    114.751    112.843    130.218
  3.349544  13928.983  10850.641  10965.269  11078.034    114.628    112.766    130.097
  3.351874  13912.286  10843.309  10957.814  11070.502    114.505    112.688    129.976
  3.354201  13895.679  10836.042  10950.425  11063.036    114.383    112.611    129.855
  3.356524  13879.161  10828.839  10943.100  11055.634    114.261    112.533    129.734
  3.358843  13862.731  10821.700  10935.840  11048.297    114.140    112.457    129.613
  3.361157  13846.388  10814.624  10928.643  11041.023    114.019    112.380    129.493
  3.363468  13830.132  10807.611  10921.509  11033.813    113.898    112.304    129.373
  3.365775  13813.962  10800.660  10914.438  11026.666    113.778    112.228    129.253
  3.368077  13797.878  10793.771  10907.429  11019.581    113.658    112.152    129.133
  3.370376  13781.878  10786.944  10900.482  11012.558    113.538    112.076    129.013
  3.372671  13765.963  10780.177  10893.595  11005.596    113.419    112.001    128.894
  3.374963  13750.132  10773.470  10886.770  10998.696    113.300    111.926    128.775
